ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5576,オービーシステム,https://www.obs.co.jp/,豊田　利雄,current,2007年11月,,,,,,,,"photos_2/5576_オービーシステム/current/photo_01.jpg,photos_2/5576_オービーシステム/current/photo_02.jpg,photos_2/5576_オービーシステム/current/photo_03.jpg,photos_2/5576_オービーシステム/current/photo_04.jpg,photos_2/5576_オービーシステム/current/photo_05.jpg",5,current
5576,オービーシステム,https://www.obs.co.jp/,豊田　利雄,prev_1,2000年頃,,,,,,,,photos_2/5576_オービーシステム/history/01_豊田_利雄/photo_01.jpg,1,history
5580,プロディライト,https://prodelight.co.jp/,医療法人,current,,,,,,,,,,0,current
5580,プロディライト,https://prodelight.co.jp/,小南 秀光,prev_1,2023年10月31日,2023年6月28日,,,,,,,photos_2/5580_プロディライト/history/01_小南_秀光/photo_01.jpg,1,history
5580,プロディライト,https://prodelight.co.jp/,横山 隆介様,prev_2,,,,,,,,,photos_2/5580_プロディライト/history/02_横山_隆介様/photo_01.jpg,1,history
5582,グリッド,https://gridpredict.jp/,市川弥生次,prev_1,2019年（平成31年）4月1日,,,,,,,,photos_2/5582_グリッド/history/01_市川弥生次/photo_01.jpg,1,history
5590,ネットスターズ,https://www.netstars.co.jp/,嶋田 貴之,prev_1,,,,,,,,,,0,history
5588,ファーストアカウンティング,https://www.fastaccounting.jp/,森 啓太郎,current,2023年9月,,1170.72,,,,,,photos_2/5588_ファーストアカウンティング/current/photo_01.jpg,1,current
5591,AVILEN,https://avilen.jp/,治氏　豊田章,prev_1,2023年1月26日,2023年12月17日,,,,,,,photos_2/5591_AVILEN/history/01_治氏_豊田章/photo_01.jpg,1,history
5595,QPS研究所,https://i-qps.net/,大西 俊輔,current,2026年2月,,,,,,,,photos_2/5595_QPS研究所/current/photo_01.jpg,1,current
5595,QPS研究所,https://i-qps.net/,青木 盛博,prev_1,2025年12月24日,,,,,,,,photos_2/5595_QPS研究所/history/01_青木_盛博/photo_01.jpg,1,history
5595,QPS研究所,https://i-qps.net/,大西 俊輔,prev_2,,,,,,,,,photos_2/5595_QPS研究所/history/02_大西_俊輔/photo_01.jpg,1,history
5595,QPS研究所,https://i-qps.net/,米倉 英一,prev_3,,,,,,,,,photos_2/5595_QPS研究所/history/03_米倉_英一/photo_01.jpg,1,history
5596,アウトルックコンサルティング,https://www.outlook.co.jp/,議員 平野博,prev_1,,,,,,,,,photos_2/5596_アウトルックコンサルティング/history/01_議員_平野博/photo_01.jpg,1,history
5449,大阪製鐵,https://www.osaka-seitetu.co.jp/,谷　潤一,current,,,,,,,,,photos_1/5449_大阪製鐵/current/photo_01.jpg,1,current
5602,栗本鐵工所,https://corp.kurimoto.co.jp/,菊本 一高,current,,,,,,,,,photos_2/5602_栗本鐵工所/current/photo_01.jpg,1,current
5599,S&J,https://www.sandj.co.jp/,三輪 信雄,prev_1,,,,,,,,,photos_2/5599_S&J/history/01_三輪_信雄/photo_01.jpg,1,history
5609,日本鋳造,https://www.nipponchuzo.co.jp/,万円　日本人,prev_1,2011年1月11日,2012年2月8日,,,,,,,photos_2/5609_日本鋳造/history/01_万円_日本人/photo_01.jpg,1,history
5631,日本製鋼所,https://www.jsw.co.jp/,世界,current,,,,,,,,,photos_2/5631_日本製鋼所/current/photo_01.jpg,1,current
5631,日本製鋼所,https://www.jsw.co.jp/,衛門 神戸製,prev_1,,,,,,,,,photos_2/5631_日本製鋼所/history/01_衛門_神戸製/photo_01.jpg,1,history
5612,日本鋳鉄管,https://www.nichu.co.jp/,石毛,current,,,,,,,,,"photos_2/5612_日本鋳鉄管/current/photo_01.jpg,photos_2/5612_日本鋳鉄管/current/photo_02.jpg",2,current
5612,日本鋳鉄管,https://www.nichu.co.jp/,広瀬政之,prev_1,2024年4月,,,,,,,,photos_2/5612_日本鋳鉄管/history/01_広瀬政之/photo_01.jpg,1,history
5612,日本鋳鉄管,https://www.nichu.co.jp/,北野嘉久,prev_2,2019年4月,2024年4月,,,,,,,photos_2/5612_日本鋳鉄管/history/02_北野嘉久/photo_01.jpg,1,history
