ticker,company_name,sector,ceo_name,appointment_date,resignation_date,tenure_years,photo_path,photo_acquired,github_uploaded,source,notes
1301,極洋,水産・農林業,極洋,,（現在）,,photos_1/1301_極洋/current/photo_01.jpg,✓,✓,current,
1332,ニッスイ,水産・農林業,"氏名
地位",,（現在）,,photos_1/1332_ニッスイ/current/photo_01.jpg,✓,✓,current,
1333,マルハニチロ,水産・農林業,,,,,,,,missing,要調査
1375,ユキグニファクトリー,水産・農林業,体制,,（現在）,,photos_1/1375_ユキグニファクトリー/current/photo_01.jpg,✓,✓,current,
1376,カネコ種苗,水産・農林業,,,,,,,,missing,要調査
1377,サカタのタネ,水産・農林業,会長 坂田,2025年8月,（現在）,,photos_1/1377_サカタのタネ/current/photo_01.jpg,✓,✓,current,
1379,ホクト,水産・農林業,食品包装,,（現在）,,photos_1/1379_ホクト/current/photo_01.jpg,✓,✓,current,
1380,秋川牧園,水産・農林業,,,,,,,,missing,要調査
1381,アクシーズ,水産・農林業,,,,,,,,missing,要調査
1382,ホーブ,水産・農林業,,,,,,,,missing,要調査
1383,ベルグアース,水産・農林業,,,,,,,,missing,要調査
1384,ホクリヨウ,水産・農林業,,,,,,,,missing,要調査
1401,エムビーエス,建設業,,,,,,,,missing,要調査
1407,ウエストホールディングス,建設業,,,,,,,,missing,要調査
1414,ショーボンドホールディングス,建設業,,,,,,,,missing,要調査
1417,ミライト・ワン,建設業,日本語,2025年12月,（現在）,,photos_1/1417_ミライト・ワン/current/photo_01.jpg,✓,✓,current,
1418,インターライフホールディングス,建設業,,,,,,,,missing,要調査
1419,タマホーム,建設業,"家
保証",2025年5月,（現在）,,,,,current,
1420,サンヨーホームズ,建設業,,,,,,,,missing,要調査
1429,日本アクア,建設業,中村文隆,2004年11月,（現在）,,photos_1/1429_日本アクア/current/photo_01.jpg,✓,✓,current,
1430,ファーストコーポレーション,建設業,,,,,,,,missing,要調査
1431,Lib　Work,建設業,,,,,,,,missing,要調査
1433,ベステラ,建設業,,,,,,,,missing,要調査
1434,JESCOホールディングス,建設業,,,,,,,,missing,要調査
1435,robot　home,不動産業,古木 大咲,,,,photos_1/1435_robot_home/history/01_古木_大咲/photo_01.jpg,✓,✓,history,
1436,グリーンエナジー&カンパニー,建設業,,,,,,,,missing,要調査
1438,岐阜造園,建設業,,,,,,,,missing,要調査
1443,技研ホールディングス,建設業,神子柴 寿昭,,,,photos_1/1443_技研ホールディングス/history/01_神子柴_寿昭/photo_01.jpg,✓,✓,history,
1443,技研ホールディングス,建設業,三部 敏宏,,,,photos_1/1443_技研ホールディングス/history/02_三部_敏宏/photo_01.jpg,✓,✓,history,
1443,技研ホールディングス,建設業,倉石 誠司,,,,photos_1/1443_技研ホールディングス/history/03_倉石_誠司/photo_01.jpg,✓,✓,history,
1443,技研ホールディングス,建設業,竹内 弘平,,,,,,,history,
1443,技研ホールディングス,建設業,鈴木 麻子,,,,photos_1/1443_技研ホールディングス/history/05_鈴木_麻子/photo_01.jpg,✓,✓,history,
1443,技研ホールディングス,建設業,貝原 典也,,,,photos_1/1443_技研ホールディングス/history/06_貝原_典也/photo_01.jpg,✓,✓,history,
1444,ニッソウ,建設業,台市　神奈川,,,,photos_1/1444_ニッソウ/history/01_台市_神奈川/photo_01.jpg,✓,✓,history,
1446,キャンディル,建設業,林 晃生,,（現在）,,photos_1/1446_キャンディル/current/photo_01.jpg,✓,✓,current,
1447,SAAFホールディングス,建設業,奈田 直幸,,（現在）,,photos_1/1447_SAAFホールディングス/current/photo_01.jpg,✓,✓,current,
1450,TANAKEN,建設業,,,,,,,,missing,要調査
1491,中外鉱業,非鉄金属,,,,,,,,missing,要調査
1514,住石ホールディングス,鉱業,"役会
取締",,（現在）,,photos_1/1514_住石ホールディングス/current/photo_01.jpg,✓,✓,current,
1514,住石ホールディングス,鉱業,長森　省輔,,,,photos_1/1514_住石ホールディングス/history/01_長森_省輔/photo_01.jpg,✓,✓,history,
1515,日鉄鉱業,鉱業,小山　博司,2014年頃,,,photos_1/1515_日鉄鉱業/history/01_小山_博司/photo_01.jpg,✓,✓,history,
1518,三井松島ホールディングス,その他製品,社会,,（現在）,,photos_1/1518_三井松島ホールディングス/current/photo_01.jpg,✓,✓,current,
1605,INPEX,鉱業,上田,,（現在）,,photos_1/1605_INPEX/current/photo_01.jpg,✓,✓,current,
1662,石油資源開発,鉱業,,,,,,,,missing,要調査
1663,K&Oエナジーグループ,鉱業,未来,,（現在）,,photos_1/1663_K&Oエナジーグループ/current/photo_01.jpg,✓,,current,
1711,SDSホールディングス,建設業,渡辺 悠介,2020年10月,（現在）,,photos_1/1711_SDSホールディングス/current/photo_01.jpg,✓,✓,current,
1712,ダイセキ環境ソリューション,建設業,,,,,,,,missing,要調査
1716,第一カッター興業,建設業,,,,,,,,missing,要調査
1717,明豊ファシリティワークス,サービス業,,,,,,,,missing,要調査
1718,美樹工業,建設業,,,,,,,,missing,要調査
1719,安藤・間,建設業,国谷一彦,,（現在）,,,,,current,
